B,Ca43,Cd,Co,Cu,Fe,K,Li,Mg,Mn,Mo,Na,P,Rb,S,Sr,Zn
18.32512372,13866.62755,0.015966592,0.142870899,10.74946291,84.31961769,9288.18107,5.06718453,4349.624587,35.54644062,1.210780625,208.5795596,4080.865647,39.7431568,5807.414859,36.19402363,12.68037147
17.33393033,24813.51401,0.026878651,0.188224104,11.0936351,115.2974859,17990.999,9.550234147,5277.152609,51.18299775,1.241380877,826.8568873,6299.186912,74.67639027,9804.073786,72.26930095,13.22980901
26.22556242,14699.18573,0.020784083,0.180013301,13.09702159,123.3594327,11907.95186,4.281628858,4714.661784,43.33401684,1.548787257,330.5394793,6614.163723,54.97678073,6366.396964,34.37162897,17.67619151
27.99944379,15397.98549,0.02102399,0.127859343,11.20304668,102.4633773,8843.668664,4.317152297,4886.370113,36.29568263,1.186560397,270.8077049,5224.908351,48.22466877,6460.898919,36.99526855,14.73702777
22.76879536,15399.08793,0.031180949,0.190894347,11.36934078,106.8938201,10960.90532,5.653831447,4521.91485,36.43165177,1.331587379,290.7145297,4811.758074,46.31761847,6698.765476,36.72147193,16.95054235
24.55893594,20777.00095,0.030799955,0.237395237,10.68183245,113.7343178,9883.789409,8.515419971,5256.116734,44.20015556,1.092900859,313.089578,5266.089612,44.70288549,7271.371744,56.3301563,12.22481365
19.68693783,25828.55468,0.042180455,0.163328555,10.58030476,116.4676473,11622.347,13.43269754,6271.758907,61.39924988,1.230787353,559.4959339,5404.254076,52.28167223,5979.589745,70.85747724,9.537850296
18.59486524,17676.17711,0.036564903,0.122352567,8.982684629,92.4508774,9411.823355,4.807875725,4835.80556,31.72989901,0.958682889,396.5986431,4007.735704,40.63190573,5720.325405,51.06448068,11.54945058
36.59226855,10816.97366,0.01363039,0.153872417,10.13179158,90.01068162,6608.786687,3.4888662,4420.21662,34.89660368,1.077134107,146.6680325,4984.725218,37.22470455,3039.683824,22.92095685,12.61027137
14.08038931,19092.57153,0.022594349,0.11438932,9.366146828,80.63016556,7831.923746,5.293675196,4720.151646,30.98068023,0.866761316,438.1615706,3711.847109,34.51808705,6074.061535,56.62243911,9.505660695
29.98661788,9898.800156,0.014329948,0.123808858,9.060173924,78.84979817,6930.751335,3.338807417,4124.693027,32.7604223,1.01705241,120.665711,4283.874217,38.44717313,2897.901703,20.91375917,12.99992087
13.54858938,16037.95183,0.020890255,0.229596474,10.77553161,105.0100309,16030.18696,8.080116609,4860.690996,42.36656673,1.082153007,529.7416742,5570.565492,71.34984497,5170.900583,41.33173002,14.14170513
16.56339611,18379.63203,0.050615068,0.148996828,12.09833913,113.3855182,13178.90165,6.180128757,5922.290915,41.28991456,1.544559852,569.1166143,6563.176137,51.49752152,5998.224568,47.43570095,16.10795528
24.9319461,14622.99404,0.026261494,0.170315745,14.57352438,137.5518315,13512.56731,4.924427405,4788.829841,45.4214678,1.544733501,307.0191721,7495.998669,65.95014335,7429.53917,35.19279731,16.47880158
14.9689169,14775.88356,0.034379728,0.22024203,12.47566574,166.4106356,12597.37407,4.845667498,4620.030538,41.02782159,1.554015572,276.6126113,7181.04887,58.17099136,7222.565217,36.45584445,14.10301047
